Name,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Ether,4596.91,4.41,0.10%,3.05%,12.88%,38.05%,86.26%,22:32
ETHBTC,0.0391028,0.0003371,-0.85%,1.25%,8.28%,9.55%,-0.21%,Sep/18
ETHEUR,3906.44,22.82,0.59%,2.72%,11.64%,21.49%,76.58%,Sep/18
ETHGBP,3396.69,27.13,0.81%,3.33%,12.45%,27.67%,82.73%,Sep/18
ETHAUD,6963.59,59.45,0.86%,4.02%,10.32%,29.41%,92.07%,Sep/18
ETHCAD,6351.17,26.89,0.43%,2.89%,12.44%,32.63%,89.68%,Sep/18
ETHCNY,32726.2,117.7,0.36%,3.11%,11.78%,33.91%,87.45%,Sep/18
ETHJPY,681279,"6,755",1.00%,3.71%,13.21%,29.99%,93.16%,Sep/18
ETHNZD,7828.09,88.53,1.14%,4.86%,13.32%,31.45%,97.75%,Sep/18
ETHCHF,3650.00,29.46,0.81%,2.77%,10.92%,20.77%,74.39%,Sep/18
ETHMXN,84552.1,474.9,0.56%,2.62%,10.28%,21.76%,77.62%,Sep/18
ETHINR,406426,"2,699",0.67%,3.19%,14.59%,42.59%,96.89%,Sep/18
ETHBRL,24458.1,95.8,0.39%,1.70%,9.06%,18.74%,82.61%,Sep/18
ETHRUB,382687,"3,083",-0.80%,1.50%,16.31%,1.24%,68.18%,Sep/18
ETHKRW,6391409,"50,547",0.80%,3.08%,12.62%,29.81%,95.07%,Sep/18
ETHIDR,76405512,"854,327",1.13%,4.28%,15.19%,41.02%,103.90%,Sep/18
ETHTRY,190477.6,"1,042.1",0.55%,3.32%,14.42%,61.85%,126.37%,Sep/18
ETHSAR,17286.9,57.4,0.33%,3.26%,13.09%,38.17%,86.61%,Sep/18
ETHSEK,43137.0,505.4,1.19%,3.86%,10.28%,17.06%,71.96%,Sep/18
ETHNGN,6884382,"12,811",0.19%,2.50%,10.14%,33.86%,70.01%,Sep/18
ETHPLN,16657.3,137.1,0.83%,2.98%,12.20%,21.08%,76.20%,Sep/18
ETHARS,6788963,"20,826",0.31%,6.17%,29.05%,97.71%,185.64%,Sep/18
ETHNOK,45552.2,494.9,1.10%,3.61%,8.75%,20.13%,75.71%,Sep/18
ETHTWD,138803.0,557.4,0.40%,2.66%,13.07%,27.04%,76.01%,Sep/18
ETHIRR,193114541,"3,444,052",1.82%,5.46%,6.61%,38.05%,95.00%,Sep/17
